reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,review_date,appVersion
e20abe49-8fe7-42fe-af3a-91399875b21a,Abbatu Ermias,Awe ሃረፍ nawe,5,0,24.04.23,2024-05-21 05:06:05,24.04.23
20c4de51-f5cd-41f3-b21a-efdf8cb4463e,Eskender Million,"It has a very complex, inconvenient to use, and at most heavy step, I don't understand why it is supposed to be like that. All in all, I couldn't use it for anything other than wasting time. As a banker, it's hard for me to think about what other customers are going through. I reilly disappointing.",1,1,24.04.23,2024-05-17 20:37:40,24.04.23
f7b29ba8-e90e-4dd6-bf6e-f1480b119456,Leta Teshome,"Never try Apollo. To be honest, this app will let you down. Picture yourself dining out and using this app to pay for your meal, only to discover that Apollo is unable to process your payment, leaving you feeling bewildered. I strongly recommend exploring other options and refraining from using Apollo, especially considering the app has been malfunctioning for over a week.",1,2,24.04.23,2024-05-17 00:40:28,24.04.23
250c64b7-029e-44d7-a9b2-7ce655198af7,adonias addis,I like,5,0,24.04.23,2024-05-16 20:36:19,24.04.23
fc32f69e-fc81-4697-a29e-5d45c57fe945,Lama Yig,This not more intractive and fast,1,0,23.08.03,2024-05-16 07:32:51,23.08.03
8ecd7bf6-d5f9-4e46-b923-5121180bc676,dagim zewdu,Disappointing experience Recently the app is not working. I couldn't manage my urgent payments. I can't access the mony I have. It's such a shame for the vendor of the app.,1,1,24.04.23,2024-05-16 04:45:52,24.04.23
3443a48a-a53e-4e93-be4e-5638a1f03b11,Minilik Afework,"Frustrating experience. Crashes frequently, ask to enable internet connection despite having a good internet speed, unresponsive most of the times takes too long to process every action. You simply can't rely on it.",1,8,24.04.23,2024-05-15 17:55:37,24.04.23
23eae992-e286-4cd3-8bc8-73f5580d6ad0,Desalegn Sisay,Not worked its not good,1,1,24.04.23,2024-05-15 16:25:53,24.04.23
2f792ee1-4070-4aaf-8c8a-ec4b5d87e8ef,Dargie Syoum,"Totally not good at all. This app doesn't represent Abysinia's bank reputation and customer service. It's too slow, frustrating compared to CBE mobile banking apps. Need more more improvement. Size of the app should be compressed too in more than half. ~~~20 mb",1,1,24.04.23,2024-05-15 13:18:12,24.04.23
1a501c27-19a2-4857-98cb-c0e42e8e068a,tinbite solomon,"I downloaded the app to test it, and i like the interface and all, but i couldn't pass the otp stage, i entered the otp sent to my sms, but when i verified, it says entered otp is wrong. Please fix that.",2,1,24.04.23,2024-05-15 07:42:40,24.04.23
a809e404-f7e9-4d96-978b-40cb5e881765,Tsegab Karta,"It already been one month since this trush application starts crushing and stop working properly, what's wrong with them.",1,1,24.04.23,2024-05-15 00:59:43,24.04.23
8a282ede-a025-46a1-a35b-87f77d3a5901,Firo Abdii,Thank you,5,0,24.03.04,2024-05-14 18:16:25,24.03.04
cab4d0bc-92af-49b3-81d2-bebbb901c005,habtom lamesginew,ጥሩ ነዉ,4,1,24.04.23,2024-05-14 00:05:58,24.04.23
771ccc21-09d5-4f75-8624-7fab9f7c6aba,Zemete,The worst banking app i have ever experienced. Too much advertising for a rubbish app. it doesn't work on weekends most of the time. Call center doesn't work. Useless as its Abyssinia bank,1,5,24.04.23,2024-05-12 13:11:23,24.04.23
ce832e2f-e4ba-49b3-988f-11d39ada8080,Digafe Alemu,Good to use.,4,1,24.03.04,2024-05-11 20:02:02,24.03.04
121503a1-8356-4e15-86cf-7d6877507b46,eyob berza,The worst app,2,0,24.04.23,2024-05-09 17:15:22,24.04.23
362361bd-829e-4941-997d-3a263fcd204e,AT11,It does not work,1,2,24.04.23,2024-05-07 19:19:04,24.04.23
c67e9375-39cb-4031-8baa-f31b9e704f2d,Abel Ayalew,ምርጥ አፕ ነው ሞክሩት እና ጥቅሙን ታያላቹ,5,1,24.04.23,2024-05-05 19:34:59,24.04.23
829a6024-8c66-4671-a3e4-e576196665f0,Dr Yared Denekew,Excellent,5,0,24.04.23,2024-05-05 14:23:59,24.04.23
fbfa84af-6f42-479e-8537-fc0be5b96692,Bereket Tena,Excellent app! And Easiest to use.,4,4,24.04.23,2024-05-04 17:30:30,24.04.23
747a3a54-a35a-49c6-a336-3015603ceae7,Tigist,Nice app,5,0,24.04.23,2024-05-02 20:53:49,24.04.23
9f73b8e4-db1b-4ccb-9648-fc28edda4314,Abdilrazak Edires,Best apq,2,0,24.04.23,2024-05-02 18:58:27,24.04.23
a7dd485c-3b5d-402a-aea5-431452d49d82,Matthias Tamrat,"Another useless app from boa, this app also crashed repeatedly.",1,1,24.04.23,2024-05-02 17:39:03,24.04.23
022dc3fd-516c-4169-8c83-bce1d00d1b5d,Yohannes Tadese,The Worst app i ever downloaded.,1,1,24.04.23,2024-04-30 09:12:24,24.04.23
1027ac5c-7027-452a-abe9-9d4f89b3a4ff,Abinet Degife,Nice app for Ethiopian,5,1,24.03.04,2024-04-29 09:02:03,24.03.04
5817d4d1-1a0c-46df-baf8-871cc40e41d2,Firaol Boru,Good,2,0,24.03.04,2024-04-28 23:04:45,24.03.04
ef69ee89-3745-4a9e-82b7-b47a0980e9e9,teshe bekele,Not fast but good up and big secure system,4,1,24.02.14,2024-04-28 22:23:15,24.02.14
d02eb18e-f187-49e8-85e4-b909917191f5,Abel Tadele,"For give me, this app does not work perfectly",1,1,24.04.23,2024-04-28 20:52:47,24.04.23
b10df188-8503-4627-bd49-19effcf6d289,Tewodros Wolde,its good app,5,2,24.03.04,2024-04-28 20:48:24,24.03.04
2cca5354-a418-4f33-8775-5e3297c7ee19,suleman talegegn,Ok,5,1,24.03.04,2024-04-28 20:39:57,24.03.04
3f788aa6-a2fe-41c0-a9fc-ef60c341556f,Fasika Mekbib (X21E),"This Platform is need Re Development 😔 even I try to type my OTP but Its not working for me, It's Very Bad Application for Payment system",1,2,24.04.23,2024-04-28 20:04:58,24.04.23
bcba2128-069d-4cbd-ae39-28d6b54382da,Tarekegn Tare,Our system is not work,2,1,24.03.04,2024-04-28 16:58:17,24.03.04
